@relation AllApplicationsOverSSHLabeldTraffic

@attribute min_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute total_fvolume numeric
@attribute class {TELNET,FTP,HTTP,DNS,lime,localForwarding,remoteForwarding,scp,sftp,x11,shell}

@data
52,52,57,10,55020,298705186,remoteForwarding
52,52,57,11,76861,210630994,remoteForwarding
52,52,57,10,54678,303815934,remoteForwarding
52,52,58,10,94174,171181302,remoteForwarding
52,52,58,70,107335,141200778,remoteForwarding
52,52,58,73,107865,140961918,remoteForwarding
52,52,58,11,57149,295011938,remoteForwarding
52,52,57,10,56158,295766362,remoteForwarding
52,52,57,10,55024,300524338,remoteForwarding
52,52,57,11,76876,211871194,remoteForwarding
52,52,57,10,54689,305622834,remoteForwarding
52,52,58,10,94207,172173898,remoteForwarding
52,52,58,70,107326,142110258,remoteForwarding
52,52,58,73,107847,141788718,remoteForwarding
52,52,58,11,57164,296764754,remoteForwarding
52,52,57,10,56167,297569314,remoteForwarding
52,52,57,10,55042,302343298,remoteForwarding
52,52,57,10,76792,213343910,remoteForwarding
52,52,57,10,54681,307335298,remoteForwarding
52,52,58,10,94166,173302730,remoteForwarding
52,52,58,70,107383,143011542,remoteForwarding
52,52,58,73,107770,142698198,remoteForwarding
52,52,58,11,57158,298567178,remoteForwarding
52,52,57,10,56169,299306082,remoteForwarding
52,52,57,10,55032,304047974,remoteForwarding
52,52,57,10,76753,214832150,remoteForwarding
52,52,57,10,54687,309146786,remoteForwarding
52,52,58,10,94152,174381814,remoteForwarding
52,52,58,70,107356,143838390,remoteForwarding
52,52,58,73,107760,143607678,remoteForwarding
52,52,58,11,57164,300377942,remoteForwarding
52,52,57,10,56175,301096990,remoteForwarding
52,52,57,10,55005,305815230,remoteForwarding
52,52,57,10,76720,216237710,remoteForwarding
52,52,57,10,54700,310978330,remoteForwarding
52,52,58,10,94131,175539334,remoteForwarding
52,52,58,70,107337,144739674,remoteForwarding
52,52,58,73,107811,144517158,remoteForwarding
52,52,58,11,57167,302098070,remoteForwarding
52,52,57,10,56182,302817070,remoteForwarding
52,52,57,10,54986,307495366,remoteForwarding
52,52,57,10,76655,217718242,remoteForwarding
52,52,57,10,54711,312682314,remoteForwarding
52,52,58,10,94111,176614174,remoteForwarding
52,52,58,70,107210,145649154,remoteForwarding
52,52,58,73,107741,145343958,remoteForwarding
52,52,58,11,57178,303834350,remoteForwarding
52,52,57,10,56194,304623934,remoteForwarding
52,52,57,10,55006,309297930,remoteForwarding
52,52,57,10,76592,219194530,remoteForwarding
52,52,57,10,54698,314436534,remoteForwarding
52,52,58,10,94149,177693306,remoteForwarding
52,52,58,70,107241,146558634,remoteForwarding
52,52,58,73,107768,146253438,remoteForwarding
52,52,58,11,57171,305735990,remoteForwarding
52,52,57,10,56190,306434842,remoteForwarding
52,52,57,10,55007,311125230,remoteForwarding
52,52,57,10,76622,220434730,remoteForwarding
52,52,57,10,54689,316244370,remoteForwarding
52,52,58,10,94153,178706294,remoteForwarding
52,52,58,70,107218,147468114,remoteForwarding
52,52,58,73,107740,147162918,remoteForwarding
52,52,58,11,57169,307554950,remoteForwarding
52,52,57,10,56181,308238286,remoteForwarding
52,52,57,10,55007,312912334,remoteForwarding
52,52,57,10,76651,221757610,remoteForwarding
52,52,57,10,54699,318042942,remoteForwarding
52,52,58,10,94154,179765134,remoteForwarding
52,52,58,70,107202,148377594,remoteForwarding
52,52,58,73,107782,148072398,remoteForwarding
52,52,58,11,57173,309274782,remoteForwarding
52,52,57,10,56186,310049190,remoteForwarding
52,52,57,10,55017,314731486,remoteForwarding
52,52,57,10,76628,223072342,remoteForwarding
52,52,57,10,54687,319854570,remoteForwarding
52,52,58,10,94217,180749098,remoteForwarding
52,52,58,70,107229,149287074,remoteForwarding
52,52,58,73,107811,148981878,remoteForwarding
52,52,58,11,57167,311176422,remoteForwarding
52,52,57,10,56177,311840098,remoteForwarding
52,52,57,10,55004,316547718,remoteForwarding
52,52,57,10,76617,224392294,remoteForwarding
52,52,57,10,54686,321752310,remoteForwarding
52,52,58,10,94271,181658578,remoteForwarding
52,52,58,70,107252,150196554,remoteForwarding
52,52,58,73,107829,149974038,remoteForwarding
52,52,58,11,57157,312995382,remoteForwarding
52,52,57,10,56170,313741882,remoteForwarding
52,52,57,10,54980,318409454,remoteForwarding
52,52,57,10,76698,225467134,remoteForwarding
52,52,57,10,54669,323507166,remoteForwarding
52,52,58,10,94240,182816146,remoteForwarding
52,52,58,70,107236,151106034,remoteForwarding
52,52,58,73,107810,150883518,remoteForwarding
52,52,58,11,57159,314814342,remoteForwarding
52,52,57,10,56160,315479166,remoteForwarding
52,52,57,10,54983,320167438,remoteForwarding
52,52,57,10,76710,226790014,remoteForwarding
52,52,57,10,54678,325326126,remoteForwarding
52,52,58,10,94261,183891130,remoteForwarding
52,52,58,70,107269,152015514,remoteForwarding
52,52,58,73,107776,151792998,remoteForwarding
52,52,58,11,57151,316637638,remoteForwarding
52,52,57,10,56158,317352562,remoteForwarding
52,52,57,10,54970,322040878,remoteForwarding
52,52,57,10,76750,227947534,remoteForwarding
52,52,57,10,54675,327129226,remoteForwarding
52,52,58,10,94289,184883290,remoteForwarding
52,52,58,70,107307,152924994,remoteForwarding
52,52,58,73,107748,152702478,remoteForwarding
52,52,58,11,57149,318444350,remoteForwarding
52,52,57,10,56158,319155370,remoteForwarding
52,52,57,10,54963,323843926,remoteForwarding
52,52,57,10,76777,229270414,remoteForwarding
52,52,57,68,17387,212808034,localForwarding
52,52,57,62,16494,232683246,localForwarding
52,52,57,67,17479,208899938,localForwarding
52,52,57,69,16959,222913882,localForwarding
52,52,57,67,17589,205313202,localForwarding
52,52,57,15,15106,265015234,localForwarding
52,52,57,7,16097,244024342,localForwarding
52,52,57,68,17386,214481370,localForwarding
52,52,57,62,16499,234355990,localForwarding
52,52,57,67,17477,210565546,localForwarding
52,52,57,69,16961,224573150,localForwarding
52,52,57,67,17585,206979966,localForwarding
52,52,57,15,15118,266671466,localForwarding
52,52,57,7,16104,245699410,localForwarding
52,52,57,68,17385,216159162,localForwarding
52,52,57,62,16504,236030150,localForwarding
52,52,57,67,17474,212238874,localForwarding
52,52,57,69,16962,226241298,localForwarding
52,52,57,67,17578,208696530,localForwarding
52,52,57,15,15129,268387378,localForwarding
52,52,57,7,16109,247404430,localForwarding
52,52,57,68,17387,217758954,localForwarding
52,52,57,62,16511,237649390,localForwarding
52,52,57,67,17474,213850774,localForwarding
52,52,57,69,16960,227958062,localForwarding
52,52,57,67,17576,210364822,localForwarding
52,52,57,15,15141,270051366,localForwarding
52,52,57,7,16116,249074290,localForwarding
52,52,57,68,17386,219427314,localForwarding
52,52,57,62,16516,239314810,localForwarding
52,52,57,67,17473,215526174,localForwarding
52,52,57,69,16962,229630126,localForwarding
52,52,57,67,17572,212031210,localForwarding
52,52,57,15,15154,271724830,localForwarding
52,52,57,7,16123,250742650,localForwarding
52,52,57,68,17385,221099274,localForwarding
52,52,57,62,16521,240983462,localForwarding
52,52,57,67,17470,217201886,localForwarding
52,52,57,69,16963,231295018,localForwarding
52,52,57,67,17570,213705582,localForwarding
52,52,57,15,15166,273393886,localForwarding
52,52,57,7,16131,252409510,localForwarding
52,52,57,68,17383,222768614,localForwarding
52,52,57,62,16525,242651774,localForwarding
52,52,57,67,17469,218870550,localForwarding
52,52,57,69,16965,232964878,localForwarding
52,52,57,67,17567,215379570,localForwarding
52,52,57,15,15179,275052138,localForwarding
52,52,57,7,16137,254081802,localForwarding
52,52,57,68,17381,224438914,localForwarding
52,52,57,62,16530,244326038,localForwarding
52,52,57,67,17466,220541930,localForwarding
52,52,57,69,16966,234636142,localForwarding
52,52,57,67,17564,217052430,localForwarding
52,52,57,15,15191,276719350,localForwarding
52,52,57,7,16144,255753162,localForwarding
52,52,57,68,17380,226111402,localForwarding
52,52,57,62,16534,246000818,localForwarding
52,52,57,67,17464,222201446,localForwarding
52,52,57,69,16967,236303002,localForwarding
52,52,57,67,17558,218755046,localForwarding
52,52,57,15,15201,278417714,localForwarding
52,52,57,7,16154,257347354,localForwarding
52,52,57,68,17383,227697018,localForwarding
52,52,57,62,16536,247698622,localForwarding
52,52,57,67,17460,223903202,localForwarding
52,52,57,69,16967,238004870,localForwarding
52,52,57,67,17555,220425210,localForwarding
52,52,57,15,15213,280097978,localForwarding
52,52,57,7,16161,259011374,localForwarding
52,52,57,68,17381,229370906,localForwarding
52,52,57,62,16540,249365582,localForwarding
52,52,57,67,17457,225572594,localForwarding
52,52,57,69,16968,239676182,localForwarding
52,52,57,67,17552,222099570,localForwarding
52,52,57,15,15224,281759170,localForwarding
52,52,57,7,16167,260685362,localForwarding
52,52,57,68,17380,231043926,localForwarding
52,52,57,62,16545,251043246,localForwarding
52,52,57,67,17454,227242486,localForwarding
52,52,57,69,16969,241334442,localForwarding
52,52,57,67,17550,223770930,localForwarding
52,52,57,15,15236,283439358,localForwarding
52,52,57,7,16173,262350502,localForwarding
52,52,57,68,17378,232705010,localForwarding
52,52,57,62,16549,252714586,localForwarding
52,52,57,67,17453,228912334,localForwarding
52,52,57,69,16970,243002706,localForwarding
52,52,57,67,17548,225448290,localForwarding
52,52,57,15,15247,285108966,localForwarding
52,52,57,7,16180,264011766,localForwarding
52,52,57,68,17377,234375998,localForwarding
52,52,57,62,16553,254382946,localForwarding
52,52,57,67,17451,230579630,localForwarding
52,52,57,69,16972,244676966,localForwarding
52,52,57,67,17545,227114778,localForwarding
52,52,57,15,15258,286778606,localForwarding
52,52,57,7,16186,265684418,localForwarding
52,52,57,68,17376,236049450,localForwarding
52,52,57,62,16557,256052658,localForwarding
52,52,57,67,17449,232249854,localForwarding
52,52,57,69,16973,246340414,localForwarding
52,52,57,67,17540,228812286,localForwarding
52,52,57,15,15267,288478582,localForwarding
52,52,57,7,16190,267382406,localForwarding
52,52,57,68,17377,237647294,localForwarding
52,52,57,62,16559,257761466,localForwarding
52,52,57,67,17451,233838682,localForwarding
52,52,57,69,16972,248041630,localForwarding
52,52,57,67,17537,230487002,localForwarding
52,52,57,15,15278,290152630,localForwarding
52,52,57,7,16196,269042238,localForwarding
52,52,57,68,17375,239310454,localForwarding
52,52,57,62,16564,259429774,localForwarding
52,52,57,67,17449,235516446,localForwarding
52,52,57,69,16973,249711446,localForwarding
52,52,57,67,17534,232161314,localForwarding
52,52,57,15,15289,291825342,localForwarding
52,52,57,7,16203,270704834,localForwarding
52,52,57,68,17374,240983770,localForwarding
52,52,57,62,16567,261097998,localForwarding
52,52,57,67,17448,237187602,localForwarding
52,52,57,69,16975,251383110,localForwarding
52,52,57,67,17532,233831174,localForwarding
52,52,57,15,15300,293493654,localForwarding
52,52,57,7,16209,272371930,localForwarding
52,52,57,68,17373,242652078,localForwarding
52,52,57,62,16571,262774062,localForwarding
52,52,57,67,17446,238854246,localForwarding
52,52,57,69,16976,253055822,localForwarding
52,52,57,67,17529,235496666,localForwarding
52,52,57,15,15310,295166382,localForwarding
52,52,57,7,16215,274040142,localForwarding
52,52,57,68,17372,244323290,localForwarding
52,52,57,62,16575,264441938,localForwarding
52,52,57,67,17444,240526250,localForwarding
52,52,57,69,16978,254723810,localForwarding
52,52,57,67,17526,237170882,localForwarding
52,52,57,15,15320,296826330,localForwarding
52,52,57,7,16221,275705934,localForwarding
52,52,57,68,17371,245995958,localForwarding
52,52,57,62,16579,266115778,localForwarding
52,52,57,67,17442,242194962,localForwarding
52,52,57,69,16979,256396570,localForwarding
52,52,57,67,17534,238651106,localForwarding
52,52,57,15,15329,298532094,localForwarding
52,52,57,7,16225,277419182,localForwarding
52,52,57,68,17367,247688122,localForwarding
52,52,57,62,16580,267817466,localForwarding
52,52,57,67,17438,243900158,localForwarding
52,52,57,69,16977,258086486,localForwarding
52,52,57,67,17531,240315594,localForwarding
52,52,57,15,15339,300201450,localForwarding
52,52,57,7,16230,279090490,localForwarding
52,52,57,68,17366,249356434,localForwarding
52,52,57,62,16584,269487750,localForwarding
52,52,57,67,17436,245570222,localForwarding
52,52,57,69,16979,259753246,localForwarding
52,52,57,67,17529,241991082,localForwarding
52,52,57,15,15350,301869302,localForwarding
52,52,57,7,16236,280756366,localForwarding
52,52,57,68,17364,251025422,localForwarding
52,52,57,62,16588,271158302,localForwarding
52,52,57,67,17434,247240514,localForwarding
52,52,57,69,16980,261418606,localForwarding
52,52,57,67,17526,243661374,localForwarding
52,52,57,15,15360,303542178,localForwarding
52,52,57,7,16243,282412190,localForwarding
52,52,57,68,17363,252694158,localForwarding
52,52,57,62,16591,272829902,localForwarding
52,52,57,67,17432,248915066,localForwarding
52,52,57,69,16981,263088370,localForwarding
52,52,57,67,17524,245331186,localForwarding
52,52,57,15,15369,305209174,localForwarding
52,52,57,7,16248,284076050,localForwarding
52,52,57,68,17362,254366294,localForwarding
52,52,57,62,16595,274501406,localForwarding
52,52,57,67,17431,250582198,localForwarding
52,52,57,69,16983,264764082,localForwarding
52,52,57,67,17522,247001626,localForwarding
52,52,57,15,15379,306886790,localForwarding
52,52,57,7,16253,285738954,localForwarding
52,52,57,68,17361,256034558,localForwarding
52,52,57,62,16598,276166634,localForwarding
52,52,57,67,17429,252262186,localForwarding
52,52,57,69,16984,266429870,localForwarding
52,52,57,67,17518,248692390,localForwarding
52,52,57,15,15388,308573950,localForwarding
52,52,57,7,16258,287424198,localForwarding
52,52,57,68,17365,257606074,localForwarding
52,52,57,62,16601,277842902,localForwarding
52,52,57,67,17427,253947398,localForwarding
52,52,57,69,16984,268116030,localForwarding
52,52,57,67,17516,250366702,localForwarding
52,52,57,15,15398,310245594,localForwarding
52,52,57,7,16263,289086678,localForwarding
52,52,57,68,17364,259269818,localForwarding
52,52,57,62,16604,279511490,localForwarding
52,52,57,67,17425,255620366,localForwarding
52,52,57,69,16985,269782842,localForwarding
52,52,57,67,17514,252031362,localForwarding
52,52,57,15,15407,311915642,localForwarding
52,52,57,7,16269,290763514,localForwarding
52,52,57,68,17362,260939274,localForwarding
52,52,57,62,16608,281183698,localForwarding
52,52,57,67,17424,257296790,localForwarding
52,52,57,69,16987,271452930,localForwarding
52,52,57,67,17512,253701578,localForwarding
52,52,57,15,15417,313586714,localForwarding
52,52,57,7,16274,292433346,localForwarding
52,52,57,68,17361,262609034,localForwarding
52,52,57,62,16611,282853510,localForwarding
52,52,57,67,17422,258968198,localForwarding
52,52,57,69,16988,273116842,localForwarding
52,52,57,67,17510,255372086,localForwarding
52,52,57,15,15426,315259474,localForwarding
52,52,57,7,16279,294102246,localForwarding
52,52,57,68,17360,264277394,localForwarding
52,52,57,62,16615,284524870,localForwarding
52,52,57,67,17421,260639458,localForwarding
52,52,57,69,16989,274783602,localForwarding
52,52,57,67,17508,257043486,localForwarding
52,52,57,15,15436,316931286,localForwarding
52,52,57,7,16284,295766598,localForwarding
52,52,57,68,17359,265953386,localForwarding
52,52,57,62,16618,286191582,localForwarding
52,52,57,67,17420,262309318,localForwarding
52,52,57,69,16991,276452210,localForwarding
52,52,57,67,17505,258730974,localForwarding
52,52,57,15,15444,318619534,localForwarding
52,52,57,7,16289,297457806,localForwarding
52,52,57,68,17362,267520914,localForwarding
52,52,57,62,16621,287881126,localForwarding
52,52,57,67,17417,263994178,localForwarding
52,52,57,69,16991,278136550,localForwarding
52,52,57,67,17502,260394834,localForwarding
52,52,57,15,15453,320285602,localForwarding
52,52,57,7,16294,299126930,localForwarding
52,52,57,68,17361,269195830,localForwarding
52,52,57,62,16624,289554110,localForwarding
52,52,57,67,17416,265662490,localForwarding
52,52,57,69,16992,279812166,localForwarding
52,52,57,67,17500,262061902,localForwarding
52,52,57,15,15462,321956714,localForwarding
52,52,57,7,16298,300794954,localForwarding
52,52,57,68,17360,270862170,localForwarding
52,52,57,62,16627,291230458,localForwarding
52,52,57,67,17414,267333750,localForwarding
52,52,57,69,16993,281475978,localForwarding
52,52,57,67,17498,263728614,localForwarding
52,52,57,15,15471,323620942,localForwarding
52,52,57,7,16303,302467346,localForwarding
52,52,57,68,17359,272531290,localForwarding
52,52,57,62,16630,292895874,localForwarding
52,52,57,67,17413,269012510,localForwarding
52,52,57,69,16994,283143046,localForwarding
52,52,53,6,6112,267931566,scp
52,52,54,5,7848,246329174,scp
52,52,53,23,14568,133624130,scp
52,52,53,6,6102,273018662,scp
52,52,69,71,51762,375474,scp
52,52,54,5,7837,250729010,scp
52,52,53,23,14597,135344838,scp
52,52,53,6,6105,277503390,scp
52,52,57,67,32800,1469286,scp
52,52,54,5,7829,255061606,scp
52,52,53,23,14631,137017598,scp
52,52,53,6,6107,282197890,scp
52,52,56,67,31226,2456494,scp
52,52,54,5,7831,258999438,scp
52,52,53,23,14678,138535650,scp
52,52,53,6,6106,286950734,scp
52,52,55,54,29249,3572650,scp
52,52,54,5,7832,263098290,scp
52,52,53,23,14718,140143910,scp
52,52,53,6,6103,291780486,scp
52,52,54,53,28703,4624306,scp
52,52,54,5,7832,267208226,scp
52,52,53,23,14756,141749014,scp
52,52,53,6,6102,296537346,scp
52,52,54,52,28656,5632618,scp
52,52,54,5,7831,271214082,scp
52,52,53,23,14798,143313566,scp
52,52,53,5,6099,301342878,scp
52,52,54,52,28517,6655774,scp
52,52,54,5,7831,275359042,scp
52,52,53,23,14837,144902222,scp
52,52,53,5,6098,306148106,scp
52,52,54,52,28019,7760034,scp
52,52,54,5,7833,279365390,scp
52,52,53,23,14869,146537430,scp
52,52,53,5,6095,310979578,scp
52,52,54,52,27970,8806046,scp
52,52,54,5,7830,283473082,scp
52,52,53,23,14904,148126138,scp
52,52,53,5,6093,315735738,scp
52,52,54,52,27645,9937306,scp
52,52,54,5,7828,287570858,scp
52,52,53,23,14940,149723638,scp
52,52,53,5,6091,320565198,scp
52,52,54,52,27447,11041466,scp
52,52,54,5,7828,291648694,scp
52,52,53,23,14975,151321138,scp
52,52,53,5,6089,325336550,scp
52,52,54,35,27415,12099278,scp
52,52,54,5,7827,295759174,scp
52,52,53,23,15008,152921846,scp
52,52,53,5,6087,329415054,scp
52,52,54,35,27317,12991934,scp
52,52,54,5,7827,299256902,scp
52,52,53,23,15035,154271846,scp
52,52,53,5,6087,334117150,scp
52,52,54,35,27147,14115798,scp
52,52,54,5,7826,303395346,scp
52,52,53,23,15068,155877054,scp
52,52,53,5,6090,338242666,scp
52,52,54,35,26970,15265006,scp
52,52,54,5,7818,307910362,scp
52,52,53,23,15082,157668106,scp
52,52,54,35,25287,17422058,scp
52,52,54,5,7777,314034350,scp
52,52,53,23,14982,160685994,scp
52,52,54,24,24556,19160694,scp
52,52,54,5,7711,320959934,scp
52,52,170,366,131669,2778,scp
52,52,53,23,14896,163570094,scp
52,52,54,24,23939,20888850,scp
52,52,54,5,7649,327965390,scp
52,52,160,366,131669,3026,scp
52,52,53,23,14817,166429146,scp
52,52,53,24,23900,22090106,scp
52,52,54,5,7633,332873066,scp
52,52,55,53,8587,3499794,scp
52,52,53,23,14816,168397146,scp
52,52,53,24,23855,23351970,scp
52,52,54,5,7617,337783386,scp
52,52,54,37,7401,7039750,scp
52,52,53,23,14824,170279646,scp
52,52,54,5,7619,338243094,scp
52,52,54,10,5992,13300750,scp
52,52,53,24,23465,24976730,scp
52,52,53,23,14740,173252698,scp
52,52,53,24,21693,28375730,scp
52,52,61,41,10347,1235894,scp
52,52,53,23,14324,180326698,scp
52,52,53,24,21420,30071986,scp
52,52,55,39,5520,8213742,scp
52,52,53,23,14257,183229198,scp
52,52,162,237,104753,2674,scp
52,52,54,11,5190,13306838,scp
52,52,53,24,20833,32326474,scp
52,52,53,23,14093,187448698,scp
52,52,162,237,104753,2674,scp
52,52,53,24,20065,35020526,scp
52,52,53,23,13837,193042302,scp
52,52,55,21,6252,3430578,scp
52,52,59,32,14211,1238694,scp
52,52,53,24,20047,36486178,scp
52,52,53,23,13812,195504934,scp
52,52,54,21,5126,9803466,scp
52,52,55,32,9568,5261014,scp
52,52,53,24,20220,37573938,scp
52,52,53,23,13845,197131038,scp
52,52,54,19,5413,14584062,scp
52,52,54,32,8841,9344774,scp
52,52,53,24,20397,38619438,scp
52,52,53,23,13882,198712194,scp
52,52,53,19,5522,19445390,scp
52,52,54,25,8537,13313206,scp
52,52,53,24,20558,39716146,scp
52,52,53,23,13915,200335194,scp
52,52,53,14,5609,24278766,scp
52,52,54,25,8391,17348858,scp
52,52,53,24,20692,40813482,scp
52,52,53,23,13947,201980694,scp
52,52,53,14,5678,29040178,scp
52,52,54,25,8241,21518374,scp
52,52,53,24,20860,41866586,scp
52,52,53,23,13976,203614246,scp
52,52,53,14,5732,33731430,scp
52,52,54,15,8158,25511254,scp
52,52,53,24,21016,42912294,scp
52,52,53,23,14014,205150246,scp
52,52,53,14,5787,38358654,scp
52,52,54,15,8314,28346734,scp
52,52,53,24,21102,44062618,scp
52,52,53,23,14026,207044850,scp
52,52,53,14,5754,43646610,scp
52,52,54,15,8261,32503990,scp
52,52,53,24,21239,45115902,scp
52,52,53,23,14059,208627454,scp
52,52,53,14,5770,48444470,scp
52,52,54,15,8139,36756862,scp
52,52,53,24,21313,46316486,scp
52,52,53,23,14078,210407682,scp
52,52,53,14,5834,52780678,scp
52,52,54,15,8095,40839794,scp
52,52,53,24,21434,47374090,scp
52,52,53,23,14110,212008842,scp
52,52,53,14,5843,57624074,scp
52,52,54,15,8058,44967242,scp
52,52,53,24,21548,48421278,scp
52,52,53,23,14141,213603394,scp
52,52,53,14,5849,62431974,scp
52,52,54,15,8091,48762942,scp
52,52,53,24,21708,49411434,scp
52,52,53,23,14178,215142446,scp
