@relation AllApplicationsOverSSHLabeldTraffic

@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute mean_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute max_biat numeric
@attribute proto numeric
@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute class {TELNET,FTP,HTTP,DNS,lime,localForwarding,remoteForwarding,scp,sftp,x11,shell}

@data
52,8219,16436,7939,57,16,13,546798,133775,10,545711,6,34568,284135638,28648,1657909,remoteForwarding
52,8244,16436,8076,58,17,14,981463,232702,10,980232,6,19365,159662794,15754,914317,remoteForwarding
52,8252,16436,8140,58,18,42,1013839,263506,70,999762,6,15912,131311670,12773,742649,remoteForwarding
52,8257,16436,8158,58,18,17,1020445,264176,73,999483,6,15863,130982178,12713,739337,remoteForwarding
52,8257,16436,8080,58,16,14,830258,136615,11,829067,6,33316,275106262,26897,1561001,remoteForwarding
52,8246,16436,7982,57,16,15,703986,135159,10,703322,6,33477,276065802,27303,1583169,remoteForwarding
52,8196,16436,7975,57,16,3,548035,133700,10,546932,6,34261,280808522,28146,1629789,remoteForwarding
52,8241,16436,8017,57,17,3,898225,194477,11,897290,6,23916,197114918,19592,1135973,remoteForwarding
52,8219,16436,7938,57,16,13,546798,133783,10,545711,6,34788,285934646,28832,1668533,remoteForwarding
52,8245,16436,8076,58,17,14,981463,232822,10,980232,6,19485,160655002,15851,919937,remoteForwarding
52,8252,16436,8141,58,18,42,1013839,263559,70,999762,6,16022,132221150,12861,747753,remoteForwarding
52,8257,16436,8159,58,18,17,1020445,264222,73,999483,6,15973,131891658,12801,744441,remoteForwarding
52,8257,16436,8081,58,16,14,830258,136605,11,829067,6,33536,276925222,27073,1571209,remoteForwarding
52,8246,16436,7982,57,16,15,703986,135160,10,703322,6,33696,277880902,27480,1593429,remoteForwarding
52,8195,16436,7975,57,16,3,548035,133698,10,546932,6,34483,282616114,28333,1640569,remoteForwarding
52,8242,16436,8018,57,17,3,898225,194480,11,897290,6,24076,198437798,19720,1143397,remoteForwarding
52,8218,16436,7937,57,16,13,546798,133789,10,545711,6,35008,287717558,29019,1679313,remoteForwarding
52,8245,16436,8077,58,17,14,981463,232848,10,980232,6,19615,161729842,15955,925969,remoteForwarding
52,8252,16436,8141,58,18,42,1013839,263625,70,999762,6,16132,133130630,12949,752857,remoteForwarding
52,8257,16436,8159,58,18,17,1020445,264101,73,999483,6,16083,132801138,12889,749545,remoteForwarding
52,8257,16436,8081,58,16,14,830258,136601,11,829067,6,33756,278744182,27249,1581417,remoteForwarding
52,8246,16436,7982,57,16,15,703986,135166,10,703322,6,33907,279625666,27651,1603329,remoteForwarding
52,8196,16436,7975,57,16,3,548035,133716,10,546932,6,34701,284427018,28513,1650985,remoteForwarding
52,8242,16436,8019,57,17,3,898225,194488,11,897290,6,24236,199760822,19850,1150925,remoteForwarding
52,8219,16436,7937,57,16,13,546798,133815,10,545711,6,35214,289429438,29196,1689525,remoteForwarding
52,8245,16436,8077,58,17,14,981463,232888,10,980232,6,19745,162804682,16059,932001,remoteForwarding
52,8252,16436,8140,58,18,42,1013839,263704,70,999762,6,16231,133949234,13029,757497,remoteForwarding
52,8257,16436,8159,58,18,17,1020445,264089,73,999483,6,16193,133710618,12977,754649,remoteForwarding
52,8257,16436,8082,58,16,14,830258,136606,11,829067,6,33975,280554946,27425,1591625,remoteForwarding
52,8245,16436,7980,57,16,15,703986,135166,10,703322,6,34130,281421502,27837,1614057,remoteForwarding
52,8196,16436,7975,57,16,3,548035,133741,10,546932,6,34910,286147198,28684,1660885,remoteForwarding
52,8242,16436,8019,57,17,3,898225,194351,11,897290,6,24415,201249346,19998,1159485,remoteForwarding
52,8218,16436,7937,57,16,13,546798,133795,10,545711,6,35445,291315322,29386,1700509,remoteForwarding
52,8245,16436,8077,58,17,14,981463,233081,10,980232,6,19854,163706014,16151,937313,remoteForwarding
52,8252,16436,8140,58,17,42,1013839,263720,70,999762,6,16351,134941394,13125,763065,remoteForwarding
52,8257,16436,8159,58,18,17,1020445,264092,73,999483,6,16303,134620098,13065,759753,remoteForwarding
52,8257,16436,8082,58,16,14,830258,136575,11,829067,6,34195,282373906,27601,1601833,remoteForwarding
52,8245,16436,7980,57,16,15,703986,135137,10,703322,6,34360,283299142,28025,1624937,remoteForwarding
52,8196,16436,7975,57,16,3,548035,133714,10,546932,6,35143,288033330,28875,1671921,remoteForwarding
52,8243,16436,8020,57,17,3,898225,194488,11,897290,6,24555,202406866,20110,1165981,remoteForwarding
52,8219,16436,7937,57,16,13,546798,133832,10,545711,6,35655,293051842,29559,1710513,remoteForwarding
52,8245,16436,8076,58,17,14,981463,233051,10,980232,6,19993,164855482,16266,943965,remoteForwarding
52,8252,16436,8138,58,17,42,1013839,263671,70,999762,6,16449,135747802,13207,767809,remoteForwarding
52,8257,16436,8158,58,18,17,1020445,264121,73,999483,6,16412,135517286,13152,764805,remoteForwarding
52,8257,16436,8082,58,16,14,830258,136590,11,829067,6,34415,284193058,27780,1612197,remoteForwarding
52,8244,16436,7980,57,16,15,703986,135171,10,703322,6,34568,284999030,28196,1634837,remoteForwarding
52,8194,16436,7973,57,16,3,548035,133736,10,546932,6,35359,289751218,29061,1682601,remoteForwarding
52,8242,16436,8019,57,17,3,898225,194190,11,897290,6,24744,203949734,20268,1175109,remoteForwarding
52,8219,16436,7938,57,16,13,546798,133836,10,545711,6,35875,294870946,29737,1720825,remoteForwarding
52,8245,16436,8077,58,17,14,981463,233066,10,980232,6,20123,165930322,16370,949997,remoteForwarding
52,8252,16436,8139,58,17,42,1013839,263721,70,999762,6,16559,136657282,13295,772913,remoteForwarding
52,8257,16436,8157,58,17,17,1020445,264000,73,999483,6,16521,136422714,13240,769909,remoteForwarding
52,8258,16436,8082,58,16,14,830258,136582,11,829067,6,34634,286007966,27956,1622405,remoteForwarding
52,8244,16436,7979,57,16,15,703986,135175,10,703322,6,34785,286793882,28374,1645149,remoteForwarding
52,8193,16436,7972,57,16,3,548035,133728,10,546932,6,35584,291563398,29249,1693433,remoteForwarding
52,8242,16436,8019,57,17,3,898225,194269,11,897290,6,24894,205189982,20389,1182121,remoteForwarding
52,8219,16436,7940,57,16,13,546798,133839,10,545711,6,36095,296689906,29913,1731033,remoteForwarding
52,8245,16436,8077,58,17,14,981463,233177,10,980232,6,20243,166922482,16466,955565,remoteForwarding
52,8252,16436,8139,58,17,42,1013839,263754,70,999762,6,16669,137566762,13383,778017,remoteForwarding
52,8257,16436,8157,58,17,17,1020445,264043,73,999483,6,16631,137332194,13328,775013,remoteForwarding
52,8258,16436,8083,58,16,14,830258,136570,11,829067,6,34854,287826926,28132,1632613,remoteForwarding
52,8245,16436,7980,57,16,15,703986,135174,10,703322,6,35004,288608790,28550,1655357,remoteForwarding
52,8194,16436,7972,57,16,3,548035,133732,10,546932,6,35804,293378598,29427,1703745,remoteForwarding
52,8242,16436,8020,57,17,3,898225,194314,11,897290,6,25052,206500566,20519,1189649,remoteForwarding
52,8219,16436,7940,57,16,13,546798,133854,10,545711,6,36319,298509746,30099,1741761,remoteForwarding
52,8245,16436,8076,58,17,14,981463,233063,10,980232,6,20382,168059902,16585,962425,remoteForwarding
52,8252,16436,8139,58,17,42,1013839,263597,70,999762,6,16779,138476242,13471,783121,remoteForwarding
52,8257,16436,8157,58,17,17,1020445,264136,73,999483,6,16741,138241674,13416,780117,remoteForwarding
52,8258,16436,8083,58,16,14,830258,136585,11,829067,6,35063,289555058,28302,1642461,remoteForwarding
52,8245,16436,7980,57,16,15,703986,135198,10,703322,6,35213,290345210,28719,1665153,remoteForwarding
52,8194,16436,7973,57,16,3,548035,133756,10,546932,6,36016,295115366,29600,1713749,remoteForwarding
52,8242,16436,8020,57,17,3,898225,194262,11,897290,6,25225,207919002,20659,1197745,remoteForwarding
52,8219,16436,7941,57,16,13,546798,133854,10,545711,6,36539,300328898,30277,1752073,remoteForwarding
52,8245,16436,8076,58,17,14,981463,233129,10,980232,6,20512,169134742,16689,968457,remoteForwarding
52,8253,16436,8138,58,17,42,1013839,263646,70,999762,6,16888,139377574,13561,788329,remoteForwarding
52,8257,16436,8158,58,17,17,1020445,264172,73,999483,6,16851,139151154,13504,785221,remoteForwarding
52,8258,16436,8083,58,16,14,830258,136571,11,829067,6,35283,291374018,28478,1652669,remoteForwarding
52,8245,16436,7981,57,16,15,703986,135192,10,703322,6,35433,292164218,28896,1675413,remoteForwarding
52,8193,16436,7971,57,16,3,548035,133753,10,546932,6,36235,296886226,29788,1724581,remoteForwarding
52,8242,16436,8021,57,17,3,898225,194280,11,897290,6,25375,209159202,20779,1204705,remoteForwarding
52,8219,16436,7941,57,16,13,546798,133870,10,545711,6,36748,302045318,30450,1762077,remoteForwarding
52,8245,16436,8076,58,17,14,981463,233209,10,980232,6,20631,170114658,16787,974129,remoteForwarding
52,8252,16436,8138,58,17,42,1013839,263533,70,999762,6,16999,140291298,13650,793485,remoteForwarding
52,8257,16436,8157,58,17,17,1020445,264153,73,999483,6,16960,140052438,13592,790325,remoteForwarding
52,8258,16436,8084,58,16,14,830258,136570,11,829067,6,35503,293192978,28654,1662877,remoteForwarding
52,8245,16436,7981,57,16,15,703986,135200,10,703322,6,35650,293963118,29076,1685829,remoteForwarding
52,8193,16436,7972,57,16,3,548035,133770,10,546932,6,36455,298705186,29964,1734789,remoteForwarding
52,8243,16436,8021,57,17,3,898225,194208,11,897290,6,25551,210630994,20922,1213005,remoteForwarding
52,8218,16436,7939,57,16,13,546798,133874,10,545711,6,36966,303815934,30637,1772857,remoteForwarding
52,8245,16436,8076,58,17,14,981463,233274,10,980232,6,20760,171181302,16893,980265,remoteForwarding
52,8253,16436,8138,58,17,42,1013839,263483,70,999762,6,17109,141200778,13738,798589,remoteForwarding
52,8257,16436,8157,58,17,17,1020445,264102,73,999483,6,17070,140961918,13680,795429,remoteForwarding
52,8258,16436,8084,58,16,14,830258,136555,11,829067,6,35723,295011938,28830,1673085,remoteForwarding
52,8245,16436,7981,57,16,15,703986,135191,10,703322,6,35869,295766362,29257,1696297,remoteForwarding
52,8194,16436,7973,57,16,3,548035,133769,10,546932,6,36675,300524338,30142,1745101,remoteForwarding
52,8243,16436,8022,57,17,3,898225,194227,11,897290,6,25701,211871194,21042,1219965,remoteForwarding
52,8219,16436,7939,57,16,13,546798,133903,10,545711,6,37183,305622834,30818,1783325,remoteForwarding
52,8245,16436,8075,58,17,14,981463,233353,10,980232,6,20881,172173898,16991,985937,remoteForwarding
52,8253,16436,8138,58,17,42,1013839,263485,70,999762,6,17219,142110258,13826,803693,remoteForwarding
52,8257,16436,8157,58,17,17,1020445,264091,73,999483,6,17170,141788718,13760,800069,remoteForwarding
52,8258,16436,8085,58,16,14,830258,136576,11,829067,6,35935,296764754,29001,1683033,remoteForwarding
52,8245,16436,7981,57,16,15,703986,135208,10,703322,6,36087,297569314,29434,1706557,remoteForwarding
52,8194,16436,7974,57,16,3,548035,133795,10,546932,6,36895,302343298,30318,1755309,remoteForwarding
52,8243,16436,8019,57,17,3,898225,194103,10,897290,6,25880,213343910,21197,1228889,remoteForwarding
52,8219,16436,7938,57,16,13,546798,133917,10,545711,6,37391,307335298,31000,1793797,remoteForwarding
52,8245,16436,8074,58,17,14,981623,233319,10,980640,6,21017,173302730,17107,992641,remoteForwarding
52,8253,16436,8137,58,17,42,1013839,263581,70,999762,6,17328,143011542,13914,808797,remoteForwarding
52,8257,16436,8157,58,17,17,1020445,264008,73,999483,6,17280,142698198,13848,805173,remoteForwarding
52,8258,16436,8085,58,16,14,830258,136568,11,829067,6,36153,298567178,29174,1693037,remoteForwarding
52,8245,16436,7981,57,16,15,703986,135215,10,703322,6,36299,299306082,29606,1716509,remoteForwarding
52,8193,16436,7973,57,16,3,548035,133807,10,546932,6,37108,304047974,30500,1765781,remoteForwarding
52,8243,16436,8020,57,17,3,898225,193983,10,897290,6,26060,214832150,21341,1237241,remoteForwarding
52,8219,16436,7937,57,16,13,546798,133942,10,545711,6,37611,309146786,31184,1804421,remoteForwarding
52,8245,16436,8074,58,17,14,981623,233292,10,980640,6,21148,174381814,17213,998777,remoteForwarding
52,8253,16436,8137,58,17,42,1013839,263564,70,999762,6,17428,143838390,13995,813489,remoteForwarding
52,8258,16436,8157,58,17,17,1020445,264012,73,999483,6,17390,143607678,13936,810277,remoteForwarding
52,8258,16436,8085,58,16,14,830258,136579,11,829067,6,36372,300377942,29350,1703245,remoteForwarding
52,8245,16436,7980,57,16,15,703986,135234,10,703322,6,36518,301096990,29785,1726873,remoteForwarding
52,8192,16436,7970,57,16,3,548035,133821,10,546932,6,37330,305815230,30701,1777289,remoteForwarding
52,8243,16436,8021,57,17,3,898225,193879,10,897290,6,26230,216237710,21477,1245129,remoteForwarding
52,8219,16436,7938,57,16,13,546798,133960,10,545711,6,37833,310978330,31363,1814785,remoteForwarding
52,8245,16436,8075,58,17,14,981623,233232,10,980640,6,21288,175539334,17325,1005273,remoteForwarding
52,8253,16436,8137,58,17,42,1013839,263567,70,999762,6,17537,144739674,14084,818645,remoteForwarding
52,8258,16436,8157,58,17,17,1020445,264090,73,999483,6,17500,144517158,14024,815381,remoteForwarding
52,8258,16436,8085,58,16,14,830258,136586,11,829067,6,36580,302098070,29518,1712989,remoteForwarding
52,8245,16436,7981,57,16,15,703986,135248,10,703322,6,36726,302817070,29954,1736669,remoteForwarding
52,8191,16436,7967,57,16,3,548035,133835,10,546932,6,37540,307495366,30888,1788021,remoteForwarding
52,8243,16436,8021,57,17,3,898225,193751,10,897290,6,26411,217718242,21628,1253845,remoteForwarding
52,8219,16436,7938,57,16,13,546798,133995,10,545711,6,38041,312682314,31537,1824841,remoteForwarding
52,8246,16436,8075,58,17,14,981623,233182,10,980640,6,21418,176614174,17429,1011305,remoteForwarding
52,8253,16436,8137,58,17,42,1013839,263427,70,999762,6,17647,145649154,14172,823749,remoteForwarding
52,8258,16436,8157,58,17,17,1020445,264024,73,999483,6,17600,145343958,14104,820021,remoteForwarding
52,8258,16436,8085,58,16,14,830258,136609,11,829067,6,36790,303834350,29686,1722733,remoteForwarding
52,8245,16436,7981,57,16,15,703986,135272,10,703322,6,36946,304623934,30132,1746981,remoteForwarding
52,8191,16436,7967,57,16,3,548035,133875,10,546932,6,37757,309297930,31065,1798281,remoteForwarding
52,8243,16436,8021,57,17,3,898225,193599,10,897290,6,26591,219194530,21776,1262405,remoteForwarding
52,8219,16436,7936,57,16,13,546798,133992,10,545711,6,38256,314436534,31725,1835673,remoteForwarding
52,8246,16436,8075,58,17,14,981623,233274,10,980640,6,21549,177693306,17536,1017493,remoteForwarding
52,8253,16436,8137,58,17,42,1013839,263451,70,999762,6,17757,146558634,14260,828853,remoteForwarding
52,8258,16436,8157,58,17,17,1020445,264043,73,999483,6,17710,146253438,14192,825125,remoteForwarding
52,8258,16436,8086,58,16,14,830258,136586,11,829067,6,37020,305735990,29870,1733405,remoteForwarding
52,8245,16436,7982,57,16,15,703986,135259,10,703322,6,37165,306434842,30310,1757293,remoteForwarding
52,8192,16436,7968,57,16,3,548035,133870,10,546932,6,37978,311125230,31244,1808645,remoteForwarding
52,8243,16436,8021,57,17,3,898225,193658,10,897290,6,26741,220434730,21896,1269365,remoteForwarding
52,8218,16436,7936,57,16,13,546798,133993,10,545711,6,38479,316244370,31913,1846505,remoteForwarding
52,8245,16436,8075,58,17,14,981623,233314,10,980640,6,21672,178706294,17637,1023321,remoteForwarding
52,8253,16436,8137,58,17,42,1013839,263416,70,999762,6,17867,147468114,14348,833957,remoteForwarding
52,8258,16436,8157,58,17,17,1020445,264003,73,999483,6,17820,147162918,14280,830229,remoteForwarding
52,8258,16436,8086,58,16,14,830258,136577,11,829067,6,37240,307554950,30046,1743613,remoteForwarding
52,8244,16436,7981,57,16,15,703986,135246,10,703322,6,37386,308238286,30493,1767865,remoteForwarding
52,8191,16436,7968,57,16,3,548035,133876,10,546932,6,38198,312912334,31426,1819165,remoteForwarding
52,8243,16436,8022,57,17,3,898225,193714,10,897290,6,26901,221757610,22024,1276789,remoteForwarding
52,8218,16436,7936,57,16,13,546798,134004,10,545711,6,38698,318042942,32092,1856869,remoteForwarding
52,8245,16436,8074,58,17,14,981623,233334,10,980640,6,21802,179765134,17744,1029509,remoteForwarding
52,8253,16436,8137,58,17,42,1013839,263398,70,999762,6,17977,148377594,14436,839061,remoteForwarding
52,8258,16436,8157,58,17,17,1020445,264058,73,999483,6,17930,148072398,14368,835333,remoteForwarding
52,8259,16436,8086,58,16,14,830258,136579,11,829067,6,37446,309274782,30212,1753253,remoteForwarding
52,8245,16436,7981,57,16,15,703986,135256,10,703322,6,37604,310049190,30670,1778125,remoteForwarding
52,8192,16436,7969,57,16,3,548035,133888,10,546932,6,38418,314731486,31604,1829477,remoteForwarding
52,8243,16436,8022,57,17,3,898225,193673,10,897290,6,27060,223072342,22156,1284421,remoteForwarding
52,8218,16436,7936,57,16,13,546798,133998,10,545711,6,38917,319854570,32279,1867649,remoteForwarding
52,8245,16436,8074,58,17,14,981623,233486,10,980640,6,21921,180749098,17842,1035181,remoteForwarding
52,8253,16436,8138,58,17,42,1013839,263415,70,999762,6,18087,149287074,14524,844165,remoteForwarding
52,8258,16436,8158,58,17,17,1020445,264085,73,999483,6,18040,148981878,14456,840437,remoteForwarding
52,8259,16436,8087,58,16,14,830258,136559,11,829067,6,37676,311176422,30396,1763925,remoteForwarding
52,8244,16436,7981,57,16,15,703986,135242,10,703322,6,37823,311840098,30850,1788541,remoteForwarding
52,8191,16436,7968,57,16,3,548035,133865,10,546932,6,38644,316547718,31792,1840309,remoteForwarding
52,8242,16436,8021,57,17,3,898225,193702,10,897290,6,27224,224392294,22294,1292365,remoteForwarding
52,8218,16436,7937,57,16,13,546798,133978,10,545711,6,39148,321752310,32466,1878477,remoteForwarding
52,8245,16436,8074,58,17,14,981623,233586,10,980640,6,22031,181658578,17930,1040285,remoteForwarding
52,8253,16436,8138,58,17,42,1013839,263421,70,999762,6,18197,150196554,14612,849269,remoteForwarding
52,8258,16436,8158,58,17,17,1020445,264079,73,999483,6,18160,149974038,14552,846005,remoteForwarding
52,8259,16436,8087,58,16,14,830258,136530,11,829067,6,37896,312995382,30572,1774133,remoteForwarding
52,8244,16436,7982,57,16,15,703986,135217,10,703322,6,38053,313741882,31036,1799317,remoteForwarding
52,8190,16436,7967,57,16,3,548035,133845,10,546932,6,38874,318409454,31990,1851709,remoteForwarding
52,8242,16436,8022,57,17,3,898225,193894,10,897290,6,27354,225467134,22398,1298397,remoteForwarding
52,8217,16436,7934,57,16,13,546798,133985,10,545711,6,39366,323507166,32661,1889673,remoteForwarding
52,8245,16436,8075,58,17,14,981623,233507,10,980640,6,22171,182816146,18043,1046833,remoteForwarding
52,8254,16436,8138,58,17,42,1013839,263405,70,999762,6,18307,151106034,14700,854373,remoteForwarding
52,8258,16436,8158,58,17,17,1020445,264061,73,999483,6,18270,150883518,14640,851109,remoteForwarding
52,8259,16436,8088,58,16,14,830258,136529,11,829067,6,38116,314814342,30748,1784341,remoteForwarding
52,8245,16436,7981,57,16,15,703986,135223,10,703322,6,38262,315479166,31213,1809529,remoteForwarding
52,8190,16436,7966,57,16,3,548035,133864,10,546932,6,39090,320167438,32172,1862229,remoteForwarding
52,8242,16436,8022,57,17,3,898225,193905,10,897290,6,27514,226790014,22526,1305821,remoteForwarding
52,8218,16436,7936,57,16,13,546798,133984,10,545711,6,39586,325326126,32837,1899881,remoteForwarding
52,8245,16436,8075,58,17,14,981623,233548,10,980640,6,22301,183891130,18149,1052969,remoteForwarding
52,8254,16436,8138,58,17,42,1013839,263438,70,999762,6,18417,152015514,14788,859477,remoteForwarding
52,8258,16436,8158,58,17,17,1020445,264003,73,999483,6,18380,151792998,14728,856213,remoteForwarding
52,8259,16436,8088,58,16,14,830258,136514,11,829067,6,38336,316637638,30926,1794653,remoteForwarding
52,8244,16436,7981,57,16,15,703986,135214,10,703322,6,38491,317352562,31399,1820305,remoteForwarding
52,8190,16436,7966,57,16,3,548035,133849,10,546932,6,39318,322040878,32360,1873061,remoteForwarding
52,8242,16436,8023,57,17,3,898225,193990,10,897290,6,27654,227947534,22638,1312317,remoteForwarding
52,8218,16436,7935,57,16,13,546798,133988,10,545711,6,39805,327129226,33022,1910557,remoteForwarding
52,8245,16436,8075,58,17,14,981623,233595,10,980640,6,22421,184883290,18245,1058537,remoteForwarding
52,8254,16436,8138,58,17,42,1013839,263481,70,999762,6,18527,152924994,14876,864581,remoteForwarding
52,8258,16436,8158,58,17,17,1020445,263959,73,999483,6,18490,152702478,14816,861317,remoteForwarding
52,8259,16436,8087,58,16,14,830258,136508,11,829067,6,38554,318444350,31102,1804861,remoteForwarding
52,8244,16436,7981,57,16,15,703986,135212,10,703322,6,38709,319155370,31577,1830617,remoteForwarding
52,8191,16436,7965,57,16,3,548035,133854,10,546932,6,39536,323843926,32546,1883789,remoteForwarding
52,8242,16436,8024,57,17,3,898225,194040,10,897290,6,27814,229270414,22766,1319741,remoteForwarding
52,1493,1500,84,57,28,4,310079,13440,68,227630,6,142443,212808034,74514,4305513,localForwarding
52,1494,1500,82,57,27,3,339082,12313,62,186251,6,155728,232683246,81473,4704089,localForwarding
52,1493,1500,84,57,28,6,388652,13247,67,485049,6,139829,208899938,73053,4221897,localForwarding
52,1493,1500,84,57,28,4,204716,12733,69,206036,6,149211,222913882,78000,4504905,localForwarding
52,1493,1500,85,57,28,5,360171,13583,67,283341,6,137445,205313202,71891,4155029,localForwarding
52,1494,1500,81,57,27,5,312881,12184,15,310020,6,177361,265015234,92881,5355585,localForwarding
52,1493,1500,83,57,27,5,152022,12323,7,155628,6,163338,244024342,85486,4932829,localForwarding
52,1494,1500,83,57,28,4,310079,13432,68,227630,6,143561,214481370,75092,4338641,localForwarding
52,1494,1500,82,57,27,3,339082,12312,62,186251,6,156846,234355990,82054,4737277,localForwarding
52,1493,1500,84,57,28,6,388652,13231,67,485049,6,140943,210565546,73636,4255285,localForwarding
52,1493,1500,84,57,28,4,204716,12720,69,206036,6,150322,224573150,78582,4538289,localForwarding
52,1493,1500,85,57,28,5,360171,13567,67,283341,6,138560,206979966,72474,4188369,localForwarding
52,1494,1500,81,57,26,5,312881,12232,15,310020,6,178471,266671466,93466,5389029,localForwarding
52,1494,1500,83,57,27,5,152022,12311,7,155628,6,164457,245699410,86071,4966321,localForwarding
52,1494,1500,83,57,28,4,310079,13418,68,227630,6,144683,216159162,75674,4371977,localForwarding
52,1494,1500,82,57,27,3,339082,12301,62,186251,6,157964,236030150,82636,4770661,localForwarding
52,1493,1500,83,57,28,6,388652,13213,67,485049,6,142061,212238874,74219,4288625,localForwarding
