@relation AllApplicationsOverSSHLabeldTraffic

@attribute min_fpktl numeric
@attribute min_bpktl numeric
@attribute max_bpktl numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute proto numeric
@attribute total_fvolume numeric
@attribute class {TELNET,FTP,HTTP,DNS,lime,localForwarding,remoteForwarding,scp,sftp,x11,shell}

@data
52,52,756,11,57162,6,280554946,remoteForwarding
52,52,756,10,56152,6,281421502,remoteForwarding
52,52,756,10,55035,6,286147198,remoteForwarding
52,52,756,11,76914,6,201249346,remoteForwarding
52,52,756,10,54634,6,291315322,remoteForwarding
52,52,756,10,94131,6,163706014,remoteForwarding
52,52,756,70,107586,6,134941394,remoteForwarding
52,52,756,73,107885,6,134620098,remoteForwarding
52,52,756,11,57152,6,282373906,remoteForwarding
52,52,756,10,56139,6,283299142,remoteForwarding
52,52,756,10,55024,6,288033330,remoteForwarding
52,52,756,11,76972,6,202406866,remoteForwarding
52,52,756,10,54649,6,293051842,remoteForwarding
52,52,756,10,94101,6,164855482,remoteForwarding
52,52,756,70,107498,6,135747802,remoteForwarding
52,52,756,73,107889,6,135517286,remoteForwarding
52,52,756,11,57156,6,284193058,remoteForwarding
52,52,756,10,56150,6,284999030,remoteForwarding
52,52,756,10,55013,6,289751218,remoteForwarding
52,52,756,11,76840,6,203949734,remoteForwarding
52,52,756,10,54659,6,294870946,remoteForwarding
52,52,756,10,94115,6,165930322,remoteForwarding
52,52,756,70,107540,6,136657282,remoteForwarding
52,52,756,73,107792,6,136422714,remoteForwarding
52,52,756,11,57154,6,286007966,remoteForwarding
52,52,756,10,56150,6,286793882,remoteForwarding
52,52,756,10,55002,6,291563398,remoteForwarding
52,52,756,11,76874,6,205189982,remoteForwarding
52,52,756,10,54671,6,296689906,remoteForwarding
52,52,756,10,94171,6,166922482,remoteForwarding
52,52,756,70,107575,6,137566762,remoteForwarding
52,52,756,73,107829,6,137332194,remoteForwarding
52,52,756,11,57151,6,287826926,remoteForwarding
52,52,756,10,56154,6,288608790,remoteForwarding
52,52,756,10,55008,6,293378598,remoteForwarding
52,52,756,11,76891,6,206500566,remoteForwarding
52,52,756,10,54673,6,298509746,remoteForwarding
52,52,756,10,94088,6,168059902,remoteForwarding
52,52,756,70,107436,6,138476242,remoteForwarding
52,52,756,73,107887,6,138241674,remoteForwarding
52,52,756,11,57155,6,289555058,remoteForwarding
52,52,756,10,56165,6,290345210,remoteForwarding
52,52,756,10,55019,6,295115366,remoteForwarding
52,52,756,11,76869,6,207919002,remoteForwarding
52,52,756,10,54681,6,300328898,remoteForwarding
52,52,756,10,94124,6,169134742,remoteForwarding
52,52,756,70,107458,6,139377574,remoteForwarding
52,52,756,73,107921,6,139151154,remoteForwarding
52,52,756,11,57151,6,291374018,remoteForwarding
52,52,756,10,56166,6,292164218,remoteForwarding
52,52,756,10,55005,6,296886226,remoteForwarding
52,52,756,11,76884,6,209159202,remoteForwarding
52,52,756,10,54688,6,302045318,remoteForwarding
52,52,756,10,94151,6,170114658,remoteForwarding
52,52,756,70,107366,6,140291298,remoteForwarding
52,52,756,73,107898,6,140052438,remoteForwarding
52,52,756,11,57153,6,293192978,remoteForwarding
52,52,756,10,56166,6,293963118,remoteForwarding
52,52,756,10,55020,6,298705186,remoteForwarding
52,52,756,11,76861,6,210630994,remoteForwarding
52,52,756,10,54678,6,303815934,remoteForwarding
52,52,756,10,94174,6,171181302,remoteForwarding
52,52,756,70,107335,6,141200778,remoteForwarding
52,52,756,73,107865,6,140961918,remoteForwarding
52,52,756,11,57149,6,295011938,remoteForwarding
52,52,756,10,56158,6,295766362,remoteForwarding
52,52,756,10,55024,6,300524338,remoteForwarding
52,52,756,11,76876,6,211871194,remoteForwarding
52,52,756,10,54689,6,305622834,remoteForwarding
52,52,756,10,94207,6,172173898,remoteForwarding
52,52,756,70,107326,6,142110258,remoteForwarding
52,52,756,73,107847,6,141788718,remoteForwarding
52,52,756,11,57164,6,296764754,remoteForwarding
52,52,756,10,56167,6,297569314,remoteForwarding
52,52,756,10,55042,6,302343298,remoteForwarding
52,52,756,10,76792,6,213343910,remoteForwarding
52,52,756,10,54681,6,307335298,remoteForwarding
52,52,756,10,94166,6,173302730,remoteForwarding
52,52,756,70,107383,6,143011542,remoteForwarding
52,52,756,73,107770,6,142698198,remoteForwarding
52,52,756,11,57158,6,298567178,remoteForwarding
52,52,756,10,56169,6,299306082,remoteForwarding
52,52,756,10,55032,6,304047974,remoteForwarding
52,52,756,10,76753,6,214832150,remoteForwarding
52,52,756,10,54687,6,309146786,remoteForwarding
52,52,756,10,94152,6,174381814,remoteForwarding
52,52,756,70,107356,6,143838390,remoteForwarding
52,52,756,73,107760,6,143607678,remoteForwarding
52,52,756,11,57164,6,300377942,remoteForwarding
52,52,756,10,56175,6,301096990,remoteForwarding
52,52,756,10,55005,6,305815230,remoteForwarding
52,52,756,10,76720,6,216237710,remoteForwarding
52,52,756,10,54700,6,310978330,remoteForwarding
52,52,756,10,94131,6,175539334,remoteForwarding
52,52,756,70,107337,6,144739674,remoteForwarding
52,52,756,73,107811,6,144517158,remoteForwarding
52,52,756,11,57167,6,302098070,remoteForwarding
52,52,756,10,56182,6,302817070,remoteForwarding
52,52,756,10,54986,6,307495366,remoteForwarding
52,52,756,10,76655,6,217718242,remoteForwarding
52,52,756,10,54711,6,312682314,remoteForwarding
52,52,756,10,94111,6,176614174,remoteForwarding
52,52,756,70,107210,6,145649154,remoteForwarding
52,52,756,73,107741,6,145343958,remoteForwarding
52,52,756,11,57178,6,303834350,remoteForwarding
52,52,756,10,56194,6,304623934,remoteForwarding
52,52,756,10,55006,6,309297930,remoteForwarding
52,52,756,10,76592,6,219194530,remoteForwarding
52,52,756,10,54698,6,314436534,remoteForwarding
52,52,756,10,94149,6,177693306,remoteForwarding
52,52,756,70,107241,6,146558634,remoteForwarding
52,52,756,73,107768,6,146253438,remoteForwarding
52,52,756,11,57171,6,305735990,remoteForwarding
52,52,756,10,56190,6,306434842,remoteForwarding
52,52,756,10,55007,6,311125230,remoteForwarding
52,52,756,10,76622,6,220434730,remoteForwarding
52,52,756,10,54689,6,316244370,remoteForwarding
52,52,756,10,94153,6,178706294,remoteForwarding
52,52,756,70,107218,6,147468114,remoteForwarding
52,52,756,73,107740,6,147162918,remoteForwarding
52,52,756,11,57169,6,307554950,remoteForwarding
52,52,756,10,56181,6,308238286,remoteForwarding
52,52,756,10,55007,6,312912334,remoteForwarding
52,52,756,10,76651,6,221757610,remoteForwarding
52,52,756,10,54699,6,318042942,remoteForwarding
52,52,756,10,94154,6,179765134,remoteForwarding
52,52,756,70,107202,6,148377594,remoteForwarding
52,52,756,73,107782,6,148072398,remoteForwarding
52,52,756,11,57173,6,309274782,remoteForwarding
52,52,756,10,56186,6,310049190,remoteForwarding
52,52,756,10,55017,6,314731486,remoteForwarding
52,52,756,10,76628,6,223072342,remoteForwarding
52,52,756,10,54687,6,319854570,remoteForwarding
52,52,756,10,94217,6,180749098,remoteForwarding
52,52,756,70,107229,6,149287074,remoteForwarding
52,52,756,73,107811,6,148981878,remoteForwarding
52,52,756,11,57167,6,311176422,remoteForwarding
52,52,756,10,56177,6,311840098,remoteForwarding
52,52,756,10,55004,6,316547718,remoteForwarding
52,52,756,10,76617,6,224392294,remoteForwarding
52,52,756,10,54686,6,321752310,remoteForwarding
52,52,756,10,94271,6,181658578,remoteForwarding
52,52,756,70,107252,6,150196554,remoteForwarding
52,52,756,73,107829,6,149974038,remoteForwarding
52,52,756,11,57157,6,312995382,remoteForwarding
52,52,756,10,56170,6,313741882,remoteForwarding
52,52,756,10,54980,6,318409454,remoteForwarding
52,52,756,10,76698,6,225467134,remoteForwarding
52,52,756,10,54669,6,323507166,remoteForwarding
52,52,756,10,94240,6,182816146,remoteForwarding
52,52,756,70,107236,6,151106034,remoteForwarding
52,52,756,73,107810,6,150883518,remoteForwarding
52,52,756,11,57159,6,314814342,remoteForwarding
52,52,756,10,56160,6,315479166,remoteForwarding
52,52,756,10,54983,6,320167438,remoteForwarding
52,52,756,10,76710,6,226790014,remoteForwarding
52,52,756,10,54678,6,325326126,remoteForwarding
52,52,756,10,94261,6,183891130,remoteForwarding
52,52,756,70,107269,6,152015514,remoteForwarding
52,52,756,73,107776,6,151792998,remoteForwarding
52,52,756,11,57151,6,316637638,remoteForwarding
52,52,756,10,56158,6,317352562,remoteForwarding
52,52,756,10,54970,6,322040878,remoteForwarding
52,52,756,10,76750,6,227947534,remoteForwarding
52,52,756,10,54675,6,327129226,remoteForwarding
52,52,756,10,94289,6,184883290,remoteForwarding
52,52,756,70,107307,6,152924994,remoteForwarding
52,52,756,73,107748,6,152702478,remoteForwarding
52,52,756,11,57149,6,318444350,remoteForwarding
52,52,756,10,56158,6,319155370,remoteForwarding
52,52,756,10,54963,6,323843926,remoteForwarding
52,52,756,10,76777,6,229270414,remoteForwarding
52,52,1500,68,17387,6,212808034,localForwarding
52,52,1500,62,16494,6,232683246,localForwarding
52,52,1500,67,17479,6,208899938,localForwarding
52,52,1500,69,16959,6,222913882,localForwarding
52,52,1500,67,17589,6,205313202,localForwarding
52,52,1500,15,15106,6,265015234,localForwarding
52,52,1500,7,16097,6,244024342,localForwarding
52,52,1500,68,17386,6,214481370,localForwarding
52,52,1500,62,16499,6,234355990,localForwarding
52,52,1500,67,17477,6,210565546,localForwarding
52,52,1500,69,16961,6,224573150,localForwarding
52,52,1500,67,17585,6,206979966,localForwarding
52,52,1500,15,15118,6,266671466,localForwarding
52,52,1500,7,16104,6,245699410,localForwarding
52,52,1500,68,17385,6,216159162,localForwarding
52,52,1500,62,16504,6,236030150,localForwarding
52,52,1500,67,17474,6,212238874,localForwarding
52,52,1500,69,16962,6,226241298,localForwarding
52,52,1500,67,17578,6,208696530,localForwarding
52,52,1500,15,15129,6,268387378,localForwarding
52,52,1500,7,16109,6,247404430,localForwarding
52,52,1500,68,17387,6,217758954,localForwarding
52,52,1500,62,16511,6,237649390,localForwarding
52,52,1500,67,17474,6,213850774,localForwarding
52,52,1500,69,16960,6,227958062,localForwarding
52,52,1500,67,17576,6,210364822,localForwarding
52,52,1500,15,15141,6,270051366,localForwarding
52,52,1500,7,16116,6,249074290,localForwarding
52,52,1500,68,17386,6,219427314,localForwarding
52,52,1500,62,16516,6,239314810,localForwarding
52,52,1500,67,17473,6,215526174,localForwarding
52,52,1500,69,16962,6,229630126,localForwarding
52,52,1500,67,17572,6,212031210,localForwarding
52,52,1500,15,15154,6,271724830,localForwarding
52,52,1500,7,16123,6,250742650,localForwarding
52,52,1500,68,17385,6,221099274,localForwarding
52,52,1500,62,16521,6,240983462,localForwarding
52,52,1500,67,17470,6,217201886,localForwarding
52,52,1500,69,16963,6,231295018,localForwarding
52,52,1500,67,17570,6,213705582,localForwarding
52,52,1500,15,15166,6,273393886,localForwarding
52,52,1500,7,16131,6,252409510,localForwarding
52,52,1500,68,17383,6,222768614,localForwarding
52,52,1500,62,16525,6,242651774,localForwarding
52,52,1500,67,17469,6,218870550,localForwarding
52,52,1500,69,16965,6,232964878,localForwarding
52,52,1500,67,17567,6,215379570,localForwarding
52,52,1500,15,15179,6,275052138,localForwarding
52,52,1500,7,16137,6,254081802,localForwarding
52,52,1500,68,17381,6,224438914,localForwarding
52,52,1500,62,16530,6,244326038,localForwarding
52,52,1500,67,17466,6,220541930,localForwarding
52,52,1500,69,16966,6,234636142,localForwarding
52,52,1500,67,17564,6,217052430,localForwarding
52,52,1500,15,15191,6,276719350,localForwarding
52,52,1500,7,16144,6,255753162,localForwarding
52,52,1500,68,17380,6,226111402,localForwarding
52,52,1500,62,16534,6,246000818,localForwarding
52,52,1500,67,17464,6,222201446,localForwarding
52,52,1500,69,16967,6,236303002,localForwarding
52,52,1500,67,17558,6,218755046,localForwarding
52,52,1500,15,15201,6,278417714,localForwarding
52,52,1500,7,16154,6,257347354,localForwarding
52,52,1500,68,17383,6,227697018,localForwarding
52,52,1500,62,16536,6,247698622,localForwarding
52,52,1500,67,17460,6,223903202,localForwarding
52,52,1500,69,16967,6,238004870,localForwarding
52,52,1500,67,17555,6,220425210,localForwarding
52,52,1500,15,15213,6,280097978,localForwarding
52,52,1500,7,16161,6,259011374,localForwarding
52,52,1500,68,17381,6,229370906,localForwarding
52,52,1500,62,16540,6,249365582,localForwarding
52,52,1500,67,17457,6,225572594,localForwarding
52,52,1500,69,16968,6,239676182,localForwarding
52,52,1500,67,17552,6,222099570,localForwarding
52,52,1500,15,15224,6,281759170,localForwarding
52,52,1500,7,16167,6,260685362,localForwarding
52,52,1500,68,17380,6,231043926,localForwarding
52,52,1500,62,16545,6,251043246,localForwarding
52,52,1500,67,17454,6,227242486,localForwarding
52,52,1500,69,16969,6,241334442,localForwarding
52,52,1500,67,17550,6,223770930,localForwarding
52,52,1500,15,15236,6,283439358,localForwarding
52,52,1500,7,16173,6,262350502,localForwarding
52,52,1500,68,17378,6,232705010,localForwarding
52,52,1500,62,16549,6,252714586,localForwarding
52,52,1500,67,17453,6,228912334,localForwarding
52,52,1500,69,16970,6,243002706,localForwarding
52,52,1500,67,17548,6,225448290,localForwarding
52,52,1500,15,15247,6,285108966,localForwarding
52,52,1500,7,16180,6,264011766,localForwarding
52,52,1500,68,17377,6,234375998,localForwarding
52,52,1500,62,16553,6,254382946,localForwarding
52,52,1500,67,17451,6,230579630,localForwarding
52,52,1500,69,16972,6,244676966,localForwarding
52,52,1500,67,17545,6,227114778,localForwarding
52,52,1500,15,15258,6,286778606,localForwarding
52,52,1500,7,16186,6,265684418,localForwarding
52,52,1500,68,17376,6,236049450,localForwarding
52,52,1500,62,16557,6,256052658,localForwarding
52,52,1500,67,17449,6,232249854,localForwarding
52,52,1500,69,16973,6,246340414,localForwarding
52,52,1500,67,17540,6,228812286,localForwarding
52,52,1500,15,15267,6,288478582,localForwarding
52,52,1500,7,16190,6,267382406,localForwarding
52,52,1500,68,17377,6,237647294,localForwarding
52,52,1500,62,16559,6,257761466,localForwarding
52,52,1500,67,17451,6,233838682,localForwarding
52,52,1500,69,16972,6,248041630,localForwarding
52,52,1500,67,17537,6,230487002,localForwarding
52,52,1500,15,15278,6,290152630,localForwarding
52,52,1500,7,16196,6,269042238,localForwarding
52,52,1500,68,17375,6,239310454,localForwarding
52,52,1500,62,16564,6,259429774,localForwarding
52,52,1500,67,17449,6,235516446,localForwarding
52,52,1500,69,16973,6,249711446,localForwarding
52,52,1500,67,17534,6,232161314,localForwarding
52,52,1500,15,15289,6,291825342,localForwarding
52,52,1500,7,16203,6,270704834,localForwarding
52,52,1500,68,17374,6,240983770,localForwarding
52,52,1500,62,16567,6,261097998,localForwarding
52,52,1500,67,17448,6,237187602,localForwarding
52,52,1500,69,16975,6,251383110,localForwarding
52,52,1500,67,17532,6,233831174,localForwarding
52,52,1500,15,15300,6,293493654,localForwarding
52,52,1500,7,16209,6,272371930,localForwarding
52,52,1500,68,17373,6,242652078,localForwarding
52,52,1500,62,16571,6,262774062,localForwarding
52,52,1500,67,17446,6,238854246,localForwarding
52,52,1500,69,16976,6,253055822,localForwarding
52,52,1500,67,17529,6,235496666,localForwarding
52,52,1500,15,15310,6,295166382,localForwarding
52,52,1500,7,16215,6,274040142,localForwarding
52,52,1500,68,17372,6,244323290,localForwarding
52,52,1500,62,16575,6,264441938,localForwarding
52,52,1500,67,17444,6,240526250,localForwarding
52,52,1500,69,16978,6,254723810,localForwarding
52,52,1500,67,17526,6,237170882,localForwarding
52,52,1500,15,15320,6,296826330,localForwarding
52,52,1500,7,16221,6,275705934,localForwarding
52,52,1500,68,17371,6,245995958,localForwarding
52,52,1500,62,16579,6,266115778,localForwarding
52,52,1500,67,17442,6,242194962,localForwarding
52,52,1500,69,16979,6,256396570,localForwarding
52,52,1500,67,17534,6,238651106,localForwarding
52,52,1500,15,15329,6,298532094,localForwarding
52,52,1500,7,16225,6,277419182,localForwarding
52,52,1500,68,17367,6,247688122,localForwarding
52,52,1500,62,16580,6,267817466,localForwarding
52,52,1500,67,17438,6,243900158,localForwarding
52,52,1500,69,16977,6,258086486,localForwarding
52,52,1500,67,17531,6,240315594,localForwarding
52,52,1500,15,15339,6,300201450,localForwarding
52,52,1500,7,16230,6,279090490,localForwarding
52,52,1500,68,17366,6,249356434,localForwarding
52,52,1500,62,16584,6,269487750,localForwarding
52,52,1500,67,17436,6,245570222,localForwarding
52,52,1500,69,16979,6,259753246,localForwarding
52,52,1500,67,17529,6,241991082,localForwarding
52,52,1500,15,15350,6,301869302,localForwarding
52,52,1500,7,16236,6,280756366,localForwarding
52,52,1500,68,17364,6,251025422,localForwarding
52,52,1500,62,16588,6,271158302,localForwarding
52,52,1500,67,17434,6,247240514,localForwarding
52,52,1500,69,16980,6,261418606,localForwarding
52,52,1500,67,17526,6,243661374,localForwarding
52,52,1500,15,15360,6,303542178,localForwarding
52,52,1500,7,16243,6,282412190,localForwarding
52,52,1500,68,17363,6,252694158,localForwarding
52,52,1500,62,16591,6,272829902,localForwarding
52,52,1500,67,17432,6,248915066,localForwarding
52,52,1500,69,16981,6,263088370,localForwarding
52,52,1500,67,17524,6,245331186,localForwarding
52,52,1500,15,15369,6,305209174,localForwarding
52,52,1500,7,16248,6,284076050,localForwarding
52,52,1500,68,17362,6,254366294,localForwarding
52,52,1500,62,16595,6,274501406,localForwarding
52,52,1500,67,17431,6,250582198,localForwarding
52,52,1500,69,16983,6,264764082,localForwarding
52,52,1500,67,17522,6,247001626,localForwarding
52,52,1500,15,15379,6,306886790,localForwarding
52,52,1500,7,16253,6,285738954,localForwarding
52,52,1500,68,17361,6,256034558,localForwarding
52,52,1500,62,16598,6,276166634,localForwarding
52,52,1500,67,17429,6,252262186,localForwarding
52,52,1500,69,16984,6,266429870,localForwarding
52,52,1500,67,17518,6,248692390,localForwarding
52,52,1500,15,15388,6,308573950,localForwarding
52,52,1500,7,16258,6,287424198,localForwarding
52,52,1500,68,17365,6,257606074,localForwarding
52,52,1500,62,16601,6,277842902,localForwarding
52,52,1500,67,17427,6,253947398,localForwarding
52,52,1500,69,16984,6,268116030,localForwarding
52,52,1500,67,17516,6,250366702,localForwarding
52,52,1500,15,15398,6,310245594,localForwarding
52,52,1500,7,16263,6,289086678,localForwarding
52,52,1500,68,17364,6,259269818,localForwarding
52,52,1500,62,16604,6,279511490,localForwarding
52,52,1500,67,17425,6,255620366,localForwarding
52,52,1500,69,16985,6,269782842,localForwarding
52,52,1500,67,17514,6,252031362,localForwarding
52,52,1500,15,15407,6,311915642,localForwarding
52,52,1500,7,16269,6,290763514,localForwarding
52,52,1500,68,17362,6,260939274,localForwarding
52,52,1500,62,16608,6,281183698,localForwarding
52,52,1500,67,17424,6,257296790,localForwarding
52,52,1500,69,16987,6,271452930,localForwarding
52,52,1500,67,17512,6,253701578,localForwarding
52,52,1500,15,15417,6,313586714,localForwarding
52,52,1500,7,16274,6,292433346,localForwarding
52,52,1500,68,17361,6,262609034,localForwarding
52,52,1500,62,16611,6,282853510,localForwarding
52,52,1500,67,17422,6,258968198,localForwarding
52,52,1500,69,16988,6,273116842,localForwarding
52,52,1500,67,17510,6,255372086,localForwarding
52,52,1500,15,15426,6,315259474,localForwarding
52,52,1500,7,16279,6,294102246,localForwarding
52,52,1500,68,17360,6,264277394,localForwarding
52,52,1500,62,16615,6,284524870,localForwarding
52,52,1500,67,17421,6,260639458,localForwarding
52,52,1500,69,16989,6,274783602,localForwarding
52,52,1500,67,17508,6,257043486,localForwarding
52,52,1500,15,15436,6,316931286,localForwarding
52,52,1500,7,16284,6,295766598,localForwarding
52,52,1500,68,17359,6,265953386,localForwarding
52,52,1500,62,16618,6,286191582,localForwarding
52,52,1500,67,17420,6,262309318,localForwarding
52,52,1500,69,16991,6,276452210,localForwarding
52,52,1500,67,17505,6,258730974,localForwarding
52,52,1500,15,15444,6,318619534,localForwarding
52,52,1500,7,16289,6,297457806,localForwarding
52,52,1500,68,17362,6,267520914,localForwarding
52,52,1500,62,16621,6,287881126,localForwarding
52,52,1500,67,17417,6,263994178,localForwarding
52,52,1500,69,16991,6,278136550,localForwarding
52,52,1500,67,17502,6,260394834,localForwarding
52,52,1500,15,15453,6,320285602,localForwarding
52,52,1500,7,16294,6,299126930,localForwarding
52,52,1500,68,17361,6,269195830,localForwarding
52,52,1500,62,16624,6,289554110,localForwarding
52,52,1500,67,17416,6,265662490,localForwarding
52,52,1500,69,16992,6,279812166,localForwarding
52,52,1500,67,17500,6,262061902,localForwarding
52,52,1500,15,15462,6,321956714,localForwarding
52,52,1500,7,16298,6,300794954,localForwarding
52,52,1500,68,17360,6,270862170,localForwarding
52,52,1500,62,16627,6,291230458,localForwarding
52,52,1500,67,17414,6,267333750,localForwarding
52,52,1500,69,16993,6,281475978,localForwarding
52,52,1500,67,17498,6,263728614,localForwarding
52,52,1500,15,15471,6,323620942,localForwarding
52,52,1500,7,16303,6,302467346,localForwarding
52,52,1500,68,17359,6,272531290,localForwarding
52,52,1500,62,16630,6,292895874,localForwarding
52,52,1500,67,17413,6,269012510,localForwarding
52,52,1500,69,16994,6,283143046,localForwarding
52,52,692,6,6112,6,267931566,scp
52,52,756,5,7848,6,246329174,scp
52,52,756,23,14568,6,133624130,scp
52,52,692,6,6102,6,273018662,scp
52,52,756,71,51762,6,375474,scp
52,52,756,5,7837,6,250729010,scp
52,52,756,23,14597,6,135344838,scp
52,52,692,6,6105,6,277503390,scp
52,52,756,67,32800,6,1469286,scp
52,52,756,5,7829,6,255061606,scp
52,52,756,23,14631,6,137017598,scp
52,52,692,6,6107,6,282197890,scp
52,52,756,67,31226,6,2456494,scp
52,52,756,5,7831,6,258999438,scp
52,52,756,23,14678,6,138535650,scp
52,52,692,6,6106,6,286950734,scp
52,52,756,54,29249,6,3572650,scp
52,52,756,5,7832,6,263098290,scp
52,52,756,23,14718,6,140143910,scp
52,52,692,6,6103,6,291780486,scp
52,52,756,53,28703,6,4624306,scp
52,52,756,5,7832,6,267208226,scp
52,52,756,23,14756,6,141749014,scp
52,52,692,6,6102,6,296537346,scp
52,52,756,52,28656,6,5632618,scp
52,52,756,5,7831,6,271214082,scp
52,52,756,23,14798,6,143313566,scp
52,52,692,5,6099,6,301342878,scp
52,52,756,52,28517,6,6655774,scp
52,52,756,5,7831,6,275359042,scp
52,52,756,23,14837,6,144902222,scp
52,52,692,5,6098,6,306148106,scp
52,52,756,52,28019,6,7760034,scp
52,52,756,5,7833,6,279365390,scp
52,52,756,23,14869,6,146537430,scp
52,52,692,5,6095,6,310979578,scp
52,52,756,52,27970,6,8806046,scp
52,52,756,5,7830,6,283473082,scp
52,52,756,23,14904,6,148126138,scp
52,52,692,5,6093,6,315735738,scp
52,52,756,52,27645,6,9937306,scp
52,52,756,5,7828,6,287570858,scp
52,52,756,23,14940,6,149723638,scp
52,52,692,5,6091,6,320565198,scp
52,52,756,52,27447,6,11041466,scp
52,52,756,5,7828,6,291648694,scp
52,52,756,23,14975,6,151321138,scp
52,52,692,5,6089,6,325336550,scp
52,52,756,35,27415,6,12099278,scp
52,52,756,5,7827,6,295759174,scp
52,52,756,23,15008,6,152921846,scp
52,52,692,5,6087,6,329415054,scp
52,52,756,35,27317,6,12991934,scp
52,52,756,5,7827,6,299256902,scp
52,52,756,23,15035,6,154271846,scp
52,52,692,5,6087,6,334117150,scp
52,52,756,35,27147,6,14115798,scp
52,52,756,5,7826,6,303395346,scp
52,52,756,23,15068,6,155877054,scp
52,52,692,5,6090,6,338242666,scp
52,52,756,35,26970,6,15265006,scp
52,52,756,5,7818,6,307910362,scp
52,52,756,23,15082,6,157668106,scp
52,52,756,35,25287,6,17422058,scp
52,52,756,5,7777,6,314034350,scp
52,52,756,23,14982,6,160685994,scp
52,52,756,24,24556,6,19160694,scp
52,52,756,5,7711,6,320959934,scp
52,52,692,366,131669,6,2778,scp
52,52,756,23,14896,6,163570094,scp
52,52,756,24,23939,6,20888850,scp
52,52,756,5,7649,6,327965390,scp
52,52,692,366,131669,6,3026,scp
